사번,재직여부,나이,재직일수,퇴사자여부,입사시나이,재직대비나이비율,이전경력일수,이전회사수,관련경력비율,이전평균재직기간,STEM전공여부,부서변경횟수,평균부서소속일수,현재부서소속일수,승진횟수,평균승진속도일수,현재직급소속일수,승진비율,프로젝트수,평균프로젝트기간,현재총연봉,평균연봉상승률,평균변동급비율,총경력연수,최근평가점수,평균평가점수,평가점수표준편차,평가점수추세,최근1년평가점수,최근2년평가점수,평균초과근무_분,평균야간근무_분,최근1년초과근무,최근2년초과근무,병가사용비율,평균휴가기간,연평균휴가일수,총결근일수,결근횟수,성별_M,국적_Other,최종학위_박사,최종학위_석사,최종학위_전문학사,최종학위_학사,최종전공계열_Unknown,최종전공계열_기타,최종전공계열_기타공학계열,최종전공계열_디자인계열,최종전공계열_사회과학계열,최종전공계열_상경계열,최종전공계열_어문계열,최종전공계열_인문계열,최종전공계열_자연과학계열,최종학교레벨_1.0,최종학교레벨_2.0,최종학교레벨_3.0,최종학교레벨_4.0,현재직책정보_Member,경력대비연봉수준_정보 없음,경력대비연봉수준_중,경력대비연봉수준_하,현재부서_본부_Operating Division,현재부서_본부_Planning Division,현재부서_본부_Sales Division,현재부서_실_Engineering Office,현재부서_실_Finance Office,현재부서_실_Global Sales Office,현재부서_실_Marketing Office,현재부서_실_Production Office,현재부서_실_QA Office,현재부서_실_R&D Office,현재부서_실_Strategy Office,현재직무_대분류_Management Support,현재직무_대분류_Planning,현재직무_대분류_Production & Engineering,현재직무_대분류_Sales & Marketing,현재직무_중분류_Data Scientist,현재직무_중분류_Engineering,현재직무_중분류_Finance,현재직무_중분류_HR,현재직무_중분류_Infrastructure,현재직무_중분류_Marketing,현재직무_중분류_Production Management,현재직무_중분류_SW Developer,현재직무_중분류_Sales,현재직위_Manager,현재직위_Staff
E00001,N,44,2063,1,32.46543463381246,0.12836786758758012,817.0,3.0,0.3333333333333333,272.3333333333333,0.0,1,1030.5,242,1.0,1084.0,3299.0,0.1770479883664566,0.0,0.0,0.0,0.0,0.0,7.885010266940451,0.0,0.0,0.0,0.0,61.345,62.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
E00002,Y,28,2016,0,23.06365503080082,0.1971252566735113,0.0,0.0,0.0,0.0,0.0,3,671.3333333333334,1018,1.0,12.0,12.0,0.18117559523809523,0.0,0.0,79099199.0,7.358333333333333,21.89833333333333,5.519507186858316,26.32,64.33111111111111,23.159577092665383,-2.016991844553626,26.32,51.38,15.348543689320389,2.0650485436893202,5.697297297297298,7.962962962962963,0.0,0.89453125,20.730406746031747,0.0,0.0,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
E00003,Y,44,1409,0,40.75564681724846,0.08767344906975297,1870.0,2.0,0.0,935.0,0.0,2,704.0,652,1.0,561.0,561.0,0.2592264017033357,0.0,0.0,80220743.0,6.67,23.73,8.97741273100616,68.4,71.20857142857143,14.491546304163485,-1.9911122376104136,68.4,73.31333333333333,19.004166666666666,0.0,29.70899470899471,26.81201044386423,0.00684931506849315,0.9125,18.91057487579844,0.0,0.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
E00004,Y,31,282,0,30.94318959616701,0.02490561038616944,208.0,1.0,1.0,208.0,1.0,1,282.0,282,0.0,0.0,0.0,0.0,0.0,0.0,47807967.66666667,0.0,15.89,1.3415468856947297,31.28,31.28,0.0,0.0,31.28,31.28,12.328467153284672,0.0,12.328467153284672,12.328467153284672,0.04081632653061224,0.9423076923076923,31.71099290780142,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
E00005,N,40,1150,1,29.927446954141,0.07871321013004791,0.0,0.0,0.0,0.0,0.0,2,574.5,598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1485284052019167,0.0,0.0,0.0,0.0,61.345,62.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
E00006,N,39,3289,1,25.467488021902806,0.23089208304814055,1039.0,1.0,1.0,1039.0,0.0,3,547.3333333333334,1840,2.0,1176.0,2569.0,0.22210398297354822,0.0,0.0,87633640.83333333,-5.48,6.71,11.849418206707734,49.78,49.78,0.0,0.0,61.345,62.485,99.61254612546125,21.929889298892988,0.0,0.0,0.0,0.9166666666666666,3.051839464882943,0.0,0.0,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
E00007,N,32,1434,1,22.9596167008898,0.12268993839835729,2755.0,2.0,0.0,1377.5,0.0,2,716.0,954,1.0,224.0,2204.0,0.2547071129707113,0.0,0.0,68329291.28888889,0.0,0.0,11.468856947296372,0.0,0.0,0.0,0.0,61.345,62.485,-45.23,0.0,0.0,0.0,0.2857142857142857,0.9130434782608695,5.345188284518828,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
E00008,Y,44,2400,0,38.0041067761807,0.14933731566175099,4194.0,2.0,0.5,2097.0,0.0,1,1199.5,1082,1.0,561.0,561.0,0.1521875,0.0,0.0,131714312.0,6.331666666666667,20.563333333333333,18.053388090349078,43.32,61.53222222222222,18.336368763865007,3.831295689805337,43.32,74.10333333333334,41.57372654155496,3.832886505808758,32.41081081081081,33.37845303867403,0.045454545454545456,0.8943089430894309,16.729166666666664,0.0,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
E00009,N,38,2439,1,24.960985626283367,0.1757267913109262,0.0,0.0,0.0,0.0,0.0,3,812.0,1253,1.0,706.0,3118.0,0.1497539975399754,0.0,0.0,0.0,0.0,0.0,6.677618069815195,0.0,0.0,0.0,0.0,61.345,62.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
E00010,Y,32,932,0,30.069815195071868,0.07973990417522245,2032.0,2.0,0.5,1016.0,0.0,1,932.0,932,0.0,0.0,0.0,0.0,0.0,0.0,88426077.0,0.016666666666666607,22.77333333333333,8.114989733059549,72.2,68.98400000000001,5.956364663114574,-2.5900893227999613,72.2,65.89999999999999,31.604395604395606,0.0,28.624309392265193,30.939890710382514,0.05384615384615385,0.9027777777777778,25.456008583690984,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
